year;euro_yll
2020;138509.5128
2021;140315.7907
2022;142159.328
2023;143190.2599
2024;144311.9955
2025;145553.8229
2026;146960.2635
2027;148446.1953
2028;149953.4667
2029;151930.2267
2030;154059.7118
2031;156285.6805
2032;158565.1041
2033;160505.4277
2034;162478.1506
2035;164420.4731
2036;166315.2071
2037;168144.7187
2038;169991.6472
2039;171976.4278
2040;174035.8445
2041;176138.0102
2042;178249.9311
2043;180318.2874
2044;182430.3665
2045;184494.5007
2046;186524.7402
2047;188629.3818
2048;190827.7008
2049;193101.8943
2050;195336.9519
